profile_id,email,target_role,archetype,year_of_study,n_skills,core_skills_covered,core_skills_total,core_coverage_pct
9d37efb6-eafb-3e90-54ec-84ce002ccb25,student0033@synthetic.seagas.test,Software Developer,strong,1,10,3,6,50.0
9d17d218-fc3b-0de5-9812-62ac5683ede0,student0034@synthetic.seagas.test,Software Developer,strong,4,15,6,6,100.0
d1403430-567e-642e-052d-fb9a5f584603,student0035@synthetic.seagas.test,Data Scientist,strong,2,14,6,6,100.0
d0e656e5-9271-5f6e-fea8-2e3ab54401cb,student0036@synthetic.seagas.test,Data Analyst,average,2,10,5,7,71.4
5bf7dda1-7d7c-59a5-e6c1-1650ff02f5b0,student0037@synthetic.seagas.test,Web Developer,average,3,13,3,5,60.0
0760801f-9c81-fc46-5bcd-236cc7774fae,student0038@synthetic.seagas.test,Web Developer,average,4,7,3,5,60.0
7e0f60b2-2a06-1609-e599-bd3c0bb81d38,student0039@synthetic.seagas.test,Cloud Engineer,average,2,7,2,5,40.0
ceed0ffc-6c21-835d-d8e8-b97ce0a25901,student0040@synthetic.seagas.test,Data Scientist,average,1,12,5,6,83.3
84517303-e94d-4fbe-0653-1d4748677b30,student0041@synthetic.seagas.test,Cloud Engineer,weak,2,6,4,5,80.0
bab503fb-ddfc-d1d5-cb86-3deaf7222fbe,student0042@synthetic.seagas.test,Data Analyst,average,1,10,4,7,57.1
80499bbf-76f6-a778-2246-0ac94a7eebc2,student0043@synthetic.seagas.test,Data Analyst,strong,3,14,7,7,100.0
6198b718-c4c7-aab4-ca20-508d7b6c7129,student0044@synthetic.seagas.test,Cybersecurity Analyst,average,2,6,3,4,75.0
ee462fcd-a829-907c-d9be-ccff33a315f3,student0045@synthetic.seagas.test,Cloud Engineer,weak,3,6,2,5,40.0
2ecaf629-44e2-2691-92de-d495e4f1e8e8,student0046@synthetic.seagas.test,Software Developer,weak,3,6,3,6,50.0
ce40483b-7915-ad7e-2648-c819bd1116ee,student0047@synthetic.seagas.test,Web Developer,weak,3,7,1,5,20.0
efd1b588-1054-b2d5-1876-35761a5ed196,student0048@synthetic.seagas.test,Cloud Engineer,average,1,10,3,5,60.0
ba23b07a-703c-1286-b717-14cd200291bb,student0049@synthetic.seagas.test,Cloud Engineer,strong,2,12,5,5,100.0
df9d3910-2dbb-45bd-2138-e2e6f013a170,student0050@synthetic.seagas.test,Data Analyst,strong,1,14,7,7,100.0
b3edd6ed-b089-4de4-e626-7164d3616b3a,student0051@synthetic.seagas.test,Data Scientist,average,2,10,3,6,50.0
9f7fae0c-7ba7-9d05-8c7e-29044237692a,student0052@synthetic.seagas.test,Software Developer,average,3,11,5,6,83.3
3b1d0181-9cc3-c1f5-9129-bc759b08e5a8,student0053@synthetic.seagas.test,Software Developer,strong,3,16,5,6,83.3
da948e70-2537-41e4-0966-8d0859595d27,student0054@synthetic.seagas.test,Cybersecurity Analyst,strong,4,15,4,4,100.0
17b4e75b-e9d1-8ec2-33bc-b8a9c71d4564,student0055@synthetic.seagas.test,Software Developer,average,2,8,2,6,33.3
c438eae0-b5d0-b595-a4f8-9e23af39f2ce,student0056@synthetic.seagas.test,Cybersecurity Analyst,weak,2,7,2,4,50.0
4cbb7460-510c-8c48-e09e-f2a3ae77e249,student0057@synthetic.seagas.test,Web Developer,average,3,6,2,5,40.0
fbcbd6ec-86c2-ad8f-bb36-07b0baed6f49,student0058@synthetic.seagas.test,Data Analyst,average,3,11,4,7,57.1
96b6a287-ac00-f929-bbfb-f76c3de667f9,student0059@synthetic.seagas.test,Data Analyst,average,3,14,7,7,100.0
638644e0-7d3e-5830-3d0d-5c8f97cb4585,student0060@synthetic.seagas.test,Data Scientist,strong,4,15,6,6,100.0
ad463549-bf41-13cb-32e1-5f176b47ed61,student0061@synthetic.seagas.test,Software Developer,strong,2,16,6,6,100.0
86d4aba8-805f-0892-7c79-5dd973d12f3e,student0062@synthetic.seagas.test,Web Developer,average,3,11,4,5,80.0
5b7e24ca-722b-4439-3869-d3c9d743b5a8,student0063@synthetic.seagas.test,Software Developer,average,3,10,3,6,50.0
f4852088-e97f-b025-a2e1-17986b65450b,student0064@synthetic.seagas.test,Cybersecurity Analyst,strong,4,17,4,4,100.0
fa549893-e476-231a-ecdf-d364bdce7f65,student0065@synthetic.seagas.test,Software Developer,average,3,10,4,6,66.7
e90f4137-15be-bdd0-97b0-27ce4fe5c13b,student0066@synthetic.seagas.test,Data Analyst,strong,3,15,7,7,100.0
23fbc01f-d7be-7b4f-b967-6dc6d6fdd1a5,student0067@synthetic.seagas.test,Cloud Engineer,average,3,10,1,5,20.0
690a7b80-af8d-888d-9811-70c1d8d2660e,student0068@synthetic.seagas.test,Web Developer,weak,3,6,1,5,20.0
8e978ce1-1864-3b6a-12b3-c5eb41980029,student0069@synthetic.seagas.test,Data Scientist,average,4,12,4,6,66.7
f455af73-c0a7-ad9c-a5ac-cd5a48f18eed,student0070@synthetic.seagas.test,Software Developer,weak,3,5,1,6,16.7
1ddea07d-651a-6277-017f-319f04961795,student0071@synthetic.seagas.test,Cloud Engineer,average,4,11,4,5,80.0
ad4b24ec-5b67-3a25-42c4-5041e1831003,student0072@synthetic.seagas.test,Data Analyst,strong,2,12,6,7,85.7
cfd42949-e33e-a976-5862-5813b28d7506,student0073@synthetic.seagas.test,Software Developer,average,3,8,3,6,50.0
da317fd7-9a02-78a6-1e67-73d7f3aa972b,student0074@synthetic.seagas.test,Web Developer,average,1,11,5,5,100.0
1d59598c-174d-6b87-41d6-676a61cb78c3,student0075@synthetic.seagas.test,Data Analyst,strong,2,17,7,7,100.0
3106e8ce-5b9a-289a-b58d-fc59ebe0c8c1,student0076@synthetic.seagas.test,Web Developer,strong,4,19,5,5,100.0
1182e8e7-c907-0c97-3385-db3be893786d,student0077@synthetic.seagas.test,Cybersecurity Analyst,average,2,11,2,4,50.0
44b1a1ee-7948-36f2-7eaa-b0a1f4ac27ef,student0078@synthetic.seagas.test,Software Developer,average,4,13,6,6,100.0
0835075f-2d79-8f3e-8d8b-4c60acc54c62,student0079@synthetic.seagas.test,Cloud Engineer,average,4,11,4,5,80.0
2babba12-294f-513f-d770-a46e4775d7ab,student0080@synthetic.seagas.test,Data Scientist,average,3,13,5,6,83.3
cab21438-8557-ec6c-0a23-b722c2afba28,student0081@synthetic.seagas.test,Data Scientist,average,2,11,4,6,66.7
b4e10c33-a186-1de1-5c85-a58cd0290d6b,student0082@synthetic.seagas.test,Cloud Engineer,average,4,12,4,5,80.0
238c8712-eccf-3b91-e352-09a0d5de293b,student0083@synthetic.seagas.test,Cybersecurity Analyst,strong,3,16,4,4,100.0
cf7798cc-ef36-feb1-bb8f-7b2bd91b1cb6,student0084@synthetic.seagas.test,Software Developer,weak,2,1,0,6,0.0
0d6ed01e-f1ef-a963-2dfc-6b9c794febef,student0085@synthetic.seagas.test,Data Scientist,strong,4,17,6,6,100.0
59518620-8769-ee24-1875-589a7d57a51f,student0086@synthetic.seagas.test,Software Developer,average,4,15,4,6,66.7
0244e4d7-5ac2-a176-66ed-ef302fa80808,student0087@synthetic.seagas.test,Data Analyst,average,3,12,6,7,85.7
00231f70-0a77-b5cc-2e87-46510c2ca7fa,student0088@synthetic.seagas.test,Data Analyst,average,2,11,6,7,85.7
a1f78157-58f3-4359-a60d-a1aa005bbf73,student0089@synthetic.seagas.test,Data Scientist,strong,2,8,5,6,83.3
396c8f79-e983-c62e-004f-5362244f4ce3,student0090@synthetic.seagas.test,Software Developer,average,3,9,3,6,50.0
23ac64e5-d1aa-ab53-c755-66c2dde4cd87,student0091@synthetic.seagas.test,Cloud Engineer,strong,2,12,5,5,100.0
961b9221-7a19-9807-61d2-1319cbcb3293,student0092@synthetic.seagas.test,Web Developer,average,2,10,3,5,60.0
108134dc-5427-0925-66ca-0baf3310880a,student0093@synthetic.seagas.test,Data Scientist,weak,3,9,3,6,50.0
4e954929-e58b-2d2d-4d4c-3b8004251c71,student0094@synthetic.seagas.test,Cloud Engineer,average,2,8,3,5,60.0
a097efe3-c31d-b215-d7d0-dc99645ae8ee,student0095@synthetic.seagas.test,Data Scientist,strong,4,16,6,6,100.0
62b61594-10f4-c941-8fc7-ad793b8ede31,student0096@synthetic.seagas.test,Data Scientist,strong,3,18,6,6,100.0
87e81b25-a971-5404-79ea-e46107516daa,student0097@synthetic.seagas.test,Data Scientist,strong,2,12,6,6,100.0
6e43b319-f929-9271-b220-58f9bdb2fd9e,student0098@synthetic.seagas.test,Data Scientist,strong,1,11,4,6,66.7
9490029d-3e1e-0693-c960-b8514d696e19,student0099@synthetic.seagas.test,Cloud Engineer,average,4,8,3,5,60.0
71c966b3-9eb0-3954-a83d-b2dfe4aa212a,student0100@synthetic.seagas.test,Web Developer,strong,2,14,5,5,100.0
0843280a-07ac-a3fe-a73a-366e43577225,student0101@synthetic.seagas.test,Data Scientist,strong,1,12,6,6,100.0
7fb866b2-0573-3d10-1d3e-be5bf3fac150,student0102@synthetic.seagas.test,Software Developer,strong,1,12,6,6,100.0
343c1752-3caa-a31e-13d3-c72682d33948,student0103@synthetic.seagas.test,Web Developer,average,2,11,4,5,80.0
b0a6e457-0620-5f4a-6e71-8848d577c131,student0104@synthetic.seagas.test,Data Scientist,average,4,12,6,6,100.0
cdbb6c1f-5a8d-785e-f7eb-a7e91dd07ec8,student0105@synthetic.seagas.test,Data Analyst,weak,3,7,5,7,71.4
c610024b-20c8-667f-b46f-014565e92e49,student0106@synthetic.seagas.test,Software Developer,weak,2,10,2,6,33.3
4a8e9dd2-6067-9824-78ad-b1829381ebb3,student0107@synthetic.seagas.test,Data Analyst,average,3,11,6,7,85.7
b3932fb8-4fd4-c793-016f-2931fa1b1bac,student0108@synthetic.seagas.test,Software Developer,average,1,9,4,6,66.7
bf6494b6-eee5-b33e-2dd3-4f8e5fcbf482,student0109@synthetic.seagas.test,Web Developer,weak,2,5,2,5,40.0
ab6d9aa8-aaef-dbe1-d674-998a6a97cbce,student0110@synthetic.seagas.test,Data Scientist,average,1,9,3,6,50.0
60beb85d-9053-317b-5f4d-ec1d52af891a,student0111@synthetic.seagas.test,Web Developer,average,4,12,3,5,60.0
a5448d55-13c7-f140-ea22-4efd65ef2c84,student0112@synthetic.seagas.test,Data Analyst,average,2,11,5,7,71.4
bf2c1fd1-f34a-b83d-2f16-0f3d05baec78,student0113@synthetic.seagas.test,Software Developer,weak,3,7,3,6,50.0
8e72d17c-48ac-dcf8-f92d-edcdc05afd94,student0114@synthetic.seagas.test,Data Scientist,average,3,9,4,6,66.7
ddf7d263-6806-5678-ad47-8200ae991937,student0115@synthetic.seagas.test,Data Analyst,average,4,7,5,7,71.4
1e9d8b00-ca0d-e08e-ba90-2275c72bf2e8,student0116@synthetic.seagas.test,Data Analyst,average,4,8,3,7,42.9
4dfcf384-ac48-2af2-6e98-8798c2ac0d6d,student0117@synthetic.seagas.test,Cloud Engineer,average,2,9,4,5,80.0
d30606ae-69ed-5072-bb81-c774c67651b3,student0118@synthetic.seagas.test,Software Developer,strong,2,15,5,6,83.3
e9ccedab-81b7-4f35-2cd3-248df8205c5f,student0119@synthetic.seagas.test,Software Developer,weak,3,7,3,6,50.0
6a4279c3-fbbe-0e9d-76e5-1a1279c6c757,student0120@synthetic.seagas.test,Cloud Engineer,strong,1,11,4,5,80.0
65c65e05-2ebf-af4c-8135-92e7f8c00141,student0121@synthetic.seagas.test,Web Developer,average,2,10,2,5,40.0
7cbff645-cb61-716c-dd91-cf6bb1020282,student0122@synthetic.seagas.test,Software Developer,average,4,12,5,6,83.3
0413d049-52a0-628b-2b25-a58af5953b2e,student0123@synthetic.seagas.test,Data Analyst,weak,3,7,3,7,42.9
771d030f-3955-b110-fc2e-0301d232231d,student0124@synthetic.seagas.test,Software Developer,average,3,9,5,6,83.3
dbfeed4a-5ff5-40ca-9038-ab45916d9a42,student0125@synthetic.seagas.test,Software Developer,average,2,6,5,6,83.3
524ec63c-1ab4-9e05-7dc1-dda00619feb0,student0126@synthetic.seagas.test,Cloud Engineer,average,3,7,3,5,60.0
8974e16a-2ef0-963c-1106-2a357d10bf9f,student0127@synthetic.seagas.test,Software Developer,average,2,11,5,6,83.3
e1c6a7c2-41d8-93a5-ffc7-aba263719357,student0128@synthetic.seagas.test,Software Developer,average,1,9,4,6,66.7
ee7ae3bb-5034-0715-1706-c3cdda440dee,student0129@synthetic.seagas.test,Software Developer,strong,4,16,6,6,100.0
3baada26-af83-8c06-caa5-d22a6ed7149f,student0130@synthetic.seagas.test,Cloud Engineer,strong,3,13,5,5,100.0
b9465130-9b58-e20a-7c8d-8aef30a04e0b,student0131@synthetic.seagas.test,Software Developer,weak,1,7,2,6,33.3
392c5f42-3f20-3c22-7947-7aa80f1c0455,student0132@synthetic.seagas.test,Cybersecurity Analyst,average,3,10,4,4,100.0
39bbab8a-b281-738e-d7c7-d8e6a495430e,student0133@synthetic.seagas.test,Software Developer,strong,4,17,6,6,100.0
7d10257c-b3f4-5487-f3bf-de5f8f16fac0,student0134@synthetic.seagas.test,Cloud Engineer,strong,3,14,4,5,80.0
7fffa983-0811-90e9-fa1d-8ded7dc807a2,student0135@synthetic.seagas.test,Web Developer,average,3,5,1,5,20.0
dd95b4d7-570e-dab2-3932-3a072ec3f8e0,student0136@synthetic.seagas.test,Cybersecurity Analyst,weak,2,6,2,4,50.0
1227b7ac-cdca-6bef-dbd3-4a948a996027,student0137@synthetic.seagas.test,Web Developer,strong,3,14,5,5,100.0
c2978392-5c80-7220-1f77-765f2e5ce13a,student0138@synthetic.seagas.test,Web Developer,average,3,13,5,5,100.0
0c485217-5d54-9496-61a6-51c5faaa53fc,student0139@synthetic.seagas.test,Data Scientist,average,3,11,3,6,50.0
32de3097-7cba-8dea-5086-0861061cba48,student0140@synthetic.seagas.test,Software Developer,weak,3,3,1,6,16.7
e22f3884-1f90-71b1-95eb-44d98459f302,student0141@synthetic.seagas.test,Web Developer,average,3,12,4,5,80.0
7c8c9267-3c55-ad3a-4ed9-92e01e4415f4,student0142@synthetic.seagas.test,Software Developer,average,3,11,5,6,83.3
cdba8621-da62-a307-d753-ba9908087cc4,student0143@synthetic.seagas.test,Software Developer,strong,4,15,6,6,100.0
c229a415-cb5f-8951-c534-f723c75694ac,student0144@synthetic.seagas.test,Cybersecurity Analyst,weak,3,9,1,4,25.0
b226f24a-230d-27b8-ff97-588ef6cdd0d1,student0145@synthetic.seagas.test,Data Analyst,weak,4,8,2,7,28.6
6b93cfe0-b4f7-af31-1fe8-fbe4e3bab56c,student0146@synthetic.seagas.test,Data Analyst,average,2,10,5,7,71.4
3dc0f8cf-1b6c-2937-e282-d170f5080d9c,student0147@synthetic.seagas.test,Web Developer,average,3,7,2,5,40.0
c2cb0bc7-f032-9337-a10d-27dcbf153b90,student0148@synthetic.seagas.test,Web Developer,strong,3,11,5,5,100.0
d1138946-bcd4-2854-b663-0e4c94a64978,student0149@synthetic.seagas.test,Cloud Engineer,strong,3,13,5,5,100.0
681f9515-0d93-d08b-7842-cbc6a0011ba6,student0150@synthetic.seagas.test,Cybersecurity Analyst,average,3,12,2,4,50.0
3d231e3b-4a97-a245-da5b-f081fe3d81d8,student0151@synthetic.seagas.test,Data Scientist,average,4,13,4,6,66.7
dff4cc91-3164-6c14-f1a0-051f0acae683,student0152@synthetic.seagas.test,Software Developer,strong,2,12,5,6,83.3
91c98ab6-4f41-8193-e328-9c3a801cbac1,student0153@synthetic.seagas.test,Data Analyst,average,2,11,4,7,57.1
0c443b8c-0686-34e7-dabd-385cd2c569ab,student0154@synthetic.seagas.test,Software Developer,strong,1,17,6,6,100.0
fef44a33-ae78-dd3f-8b23-96072d5e114d,student0155@synthetic.seagas.test,Cybersecurity Analyst,average,3,10,2,4,50.0
a81f3e5b-f8dc-2c64-c4e4-37538a0d9af8,student0156@synthetic.seagas.test,Software Developer,average,3,8,1,6,16.7
eea21c48-fd48-1505-b8f0-9270567fd2e9,student0157@synthetic.seagas.test,Software Developer,average,2,6,4,6,66.7
b232398b-1f3c-4a38-ff62-499af2ae7fce,student0158@synthetic.seagas.test,Software Developer,average,1,14,6,6,100.0
8d80c2fe-b7b1-0072-3436-873728ffa490,student0159@synthetic.seagas.test,Software Developer,strong,2,14,6,6,100.0
7d2b8714-8de0-b52a-c2d0-af1f43eb756f,student0160@synthetic.seagas.test,Cybersecurity Analyst,average,4,11,3,4,75.0
05d04902-48d1-be77-1710-d2f519b7a8e8,student0161@synthetic.seagas.test,Cybersecurity Analyst,strong,3,13,4,4,100.0
6c7e80ad-2970-9912-7d2e-11bd1708f96e,student0162@synthetic.seagas.test,Web Developer,strong,4,14,5,5,100.0
9859df42-974a-2447-ab73-860c83f079b3,student0163@synthetic.seagas.test,Cybersecurity Analyst,average,4,14,3,4,75.0
8bfafb8c-623c-2c71-6056-27659c1d7a65,student0164@synthetic.seagas.test,Cloud Engineer,weak,2,4,2,5,40.0
2fc3bb1c-577b-8d97-001b-d08ee4fa2e93,student0165@synthetic.seagas.test,Data Scientist,strong,2,11,4,6,66.7
8e8752c2-dc8f-79c8-bd95-5829e72cf300,student0166@synthetic.seagas.test,Cloud Engineer,weak,2,7,0,5,0.0
7b2ff249-6565-8fc1-fb62-f1dc842a4b95,student0167@synthetic.seagas.test,Cybersecurity Analyst,weak,3,10,3,4,75.0
f65a5aa3-6314-0fcc-c8b6-b9a29b5358d4,student0168@synthetic.seagas.test,Data Scientist,average,2,10,6,6,100.0
cad75ebe-9169-4fbb-3cff-13aa3c477d0c,student0169@synthetic.seagas.test,Cybersecurity Analyst,average,2,9,3,4,75.0
f14dfb3e-fe3c-f361-e44d-9a28d739a70f,student0170@synthetic.seagas.test,Cloud Engineer,average,2,3,1,5,20.0
b39844f4-e194-fb21-6e7e-2fbc21f8b225,student0171@synthetic.seagas.test,Software Developer,average,2,10,4,6,66.7
cb7ab831-ee65-3bb6-ec98-1b8e8ad09042,student0172@synthetic.seagas.test,Software Developer,weak,3,3,2,6,33.3
bb926370-d619-e0ce-69d5-ddf51d95cdea,student0173@synthetic.seagas.test,Data Analyst,average,2,10,7,7,100.0
67f7aba4-0617-4c62-a243-b9ab2b0e817c,student0174@synthetic.seagas.test,Cloud Engineer,average,4,11,4,5,80.0
f4d7b8cd-e3c7-8964-b776-cbf620141450,student0175@synthetic.seagas.test,Cloud Engineer,weak,3,9,0,5,0.0
417e5edc-13e6-9df3-2fc0-fe9c854a05f9,student0176@synthetic.seagas.test,Cybersecurity Analyst,weak,1,7,2,4,50.0
f20d3aea-a998-a3ee-22a1-12b53a880cec,student0177@synthetic.seagas.test,Web Developer,average,3,8,4,5,80.0
0394fc90-7ca2-101f-6b77-fbe41e57072d,student0178@synthetic.seagas.test,Software Developer,average,4,6,2,6,33.3
f95f299a-75ff-b57f-f27d-f93c481faf4b,student0179@synthetic.seagas.test,Cybersecurity Analyst,weak,1,4,1,4,25.0
4d5593a3-65a6-b335-619c-03d193622966,student0180@synthetic.seagas.test,Cybersecurity Analyst,average,1,8,2,4,50.0
77d0da32-31ea-2821-3034-7270681ff528,student0181@synthetic.seagas.test,Web Developer,strong,3,16,5,5,100.0
a27e5970-0452-ba51-8223-c495b64a46f5,student0182@synthetic.seagas.test,Cloud Engineer,weak,2,10,3,5,60.0
6e143f9d-b769-6e0e-c07c-5f323e5fe7f5,student0183@synthetic.seagas.test,Data Scientist,strong,3,12,6,6,100.0
54959740-f8ed-8b6a-4c6c-ed6d3f7dd313,student0184@synthetic.seagas.test,Web Developer,average,3,11,4,5,80.0
e2908a40-0c4d-862e-5ef8-fa9b8cfca54b,student0185@synthetic.seagas.test,Data Analyst,strong,4,12,7,7,100.0
b8e2e864-e0f0-c823-d077-8d1f707904e0,student0186@synthetic.seagas.test,Data Scientist,strong,4,15,6,6,100.0
e2c53f4d-149f-25e3-6b19-b289047d4bc7,student0187@synthetic.seagas.test,Data Analyst,strong,1,12,5,7,71.4
cbbc04a3-378a-91e6-882a-6ff540c063fc,student0188@synthetic.seagas.test,Software Developer,average,4,10,3,6,50.0
62b97bbf-7e35-cb46-7b76-9a50e54984ae,student0189@synthetic.seagas.test,Cloud Engineer,average,4,8,2,5,40.0
cd7f9010-318b-eb4e-8251-afd9f41facd1,student0190@synthetic.seagas.test,Data Scientist,weak,2,9,2,6,33.3
a754251d-04fe-52e3-e98a-470cb894550a,student0191@synthetic.seagas.test,Data Analyst,average,4,8,7,7,100.0
8e416029-58b4-8e1d-9e13-87b03f12cf6c,student0192@synthetic.seagas.test,Software Developer,weak,2,11,5,6,83.3
10b7ca01-eea0-e30e-96be-e52e65c1efd6,student0193@synthetic.seagas.test,Web Developer,average,4,11,4,5,80.0
5628c13e-ea9b-85eb-f1fc-8f26466d19a5,student0194@synthetic.seagas.test,Data Analyst,weak,4,7,1,7,14.3
01d23fc9-b44d-f4b5-0f73-56179e61f0dc,student0195@synthetic.seagas.test,Web Developer,average,4,10,3,5,60.0
74240302-e48b-b336-bfa5-567789a29dad,student0196@synthetic.seagas.test,Software Developer,average,4,6,3,6,50.0
f46a9817-194a-589d-4f3f-be079dba68ea,student0197@synthetic.seagas.test,Cybersecurity Analyst,average,3,15,4,4,100.0
6bb0c8a0-2ec0-f10a-aca5-abd4354f7ca8,student0198@synthetic.seagas.test,Cybersecurity Analyst,average,2,11,4,4,100.0
8c6d5cde-04a7-083d-0547-6e170f9b0aca,student0199@synthetic.seagas.test,Cloud Engineer,strong,2,14,5,5,100.0
4b6ec9d5-0227-e56b-0474-1ebc7455c604,student0200@synthetic.seagas.test,Data Analyst,strong,3,16,7,7,100.0
3c3c3182-2024-4fcf-2544-5d8cf93adb04,student0201@synthetic.seagas.test,Cybersecurity Analyst,average,2,12,4,4,100.0
e276db30-1ade-cee4-bfcc-8e33c7da450f,student0202@synthetic.seagas.test,Web Developer,average,3,9,2,5,40.0
10f897ab-5b44-102f-aec1-6f6caea74c2e,student0203@synthetic.seagas.test,Data Analyst,average,3,15,7,7,100.0
8002a34f-d3b0-60d8-0fa7-45c7341d706a,student0204@synthetic.seagas.test,Software Developer,average,3,15,5,6,83.3
8daf7c97-93be-6e0f-6776-43888d6fccd5,student0205@synthetic.seagas.test,Web Developer,average,4,9,3,5,60.0
a4ff58a2-8d8f-194c-2a8c-5fdbdcee656d,student0206@synthetic.seagas.test,Data Analyst,average,3,10,6,7,85.7
5f276ba7-9687-0bf1-4f19-f81075b4849c,student0207@synthetic.seagas.test,Software Developer,weak,3,4,2,6,33.3
710dc918-d9f2-3b37-8475-f2480ca37885,student0208@synthetic.seagas.test,Software Developer,average,3,11,5,6,83.3
6e28b3e9-5c7e-954d-94a9-922ef67ed93e,student0209@synthetic.seagas.test,Data Analyst,weak,1,3,1,7,14.3
e2d4c43c-de0a-6e83-fba8-6e1e34a148ba,student0210@synthetic.seagas.test,Cybersecurity Analyst,average,4,5,1,4,25.0
32a6f3f1-2c46-e25e-77b5-520fb02ed1d7,student0211@synthetic.seagas.test,Cybersecurity Analyst,strong,3,16,4,4,100.0
c3d6a993-6c2e-b0c5-8f9f-f3d6db40265c,student0212@synthetic.seagas.test,Software Developer,strong,2,11,6,6,100.0
612e5c86-1a5b-558b-0d43-1870ebcfbcfa,student0213@synthetic.seagas.test,Cloud Engineer,average,2,12,4,5,80.0
a62683ed-6070-e32e-9c2b-e6973ffb1f97,student0214@synthetic.seagas.test,Web Developer,average,1,6,3,5,60.0
9c64edbe-7370-ca9f-7ed4-a540b5ca2226,student0215@synthetic.seagas.test,Data Scientist,weak,2,6,2,6,33.3
